section,convention,alloc,thr,seed,p_labor0,cut_mean,floor,top_wr,term_real_med_M,term_real_p5_M
1,lookahead,10:30,28,20260647,0.993,2.1575,,,,
1,lookahead,10:30,28,20260648,0.993,2.174,,,,
1,lookahead,10:30,30,20260629,0.9945,2.194,,,,
1,lookahead,10:30,30,20260630,0.997,2.0745,,,,
1,lookahead,10:30,30,20260631,0.997,2.095,,,,
1,lookahead,10:30,30,20260632,0.9965,2.0965,,,,
1,lookahead,10:30,30,20260633,0.994,2.275,,,,
1,lookahead,10:30,30,20260634,0.9955,2.212,,,,
1,lookahead,10:30,30,20260635,0.9935,2.113,,,,
1,lookahead,10:30,30,20260636,0.9945,2.195,,,,
1,lookahead,10:30,30,20260637,0.9935,2.1445,,,,
1,lookahead,10:30,30,20260638,0.996,2.1775,,,,
1,lookahead,10:30,30,20260639,0.997,2.1755,,,,
1,lookahead,10:30,30,20260640,0.9955,2.1595,,,,
1,lookahead,10:30,30,20260641,0.995,2.177,,,,
1,lookahead,10:30,30,20260642,0.994,2.118,,,,
1,lookahead,10:30,30,20260643,0.9935,2.221,,,,
1,lookahead,10:30,30,20260644,0.999,2.1725,,,,
1,lookahead,10:30,30,20260645,0.997,2.164,,,,
1,lookahead,10:30,30,20260646,0.9965,2.049,,,,
1,lookahead,10:30,30,20260647,0.993,2.1575,,,,
1,lookahead,10:30,30,20260648,0.993,2.174,,,,
1,lookahead,14:26,12,20260629,0.999,3.0215,,,,
1,lookahead,14:26,12,20260630,1.0,2.935,,,,
1,lookahead,14:26,12,20260631,0.999,2.9635,,,,
1,lookahead,14:26,12,20260632,0.999,3.0025,,,,
1,lookahead,14:26,12,20260633,0.9985,2.9795,,,,
1,lookahead,14:26,12,20260634,0.999,2.9985,,,,
1,lookahead,14:26,12,20260635,0.9995,2.926,,,,
1,lookahead,14:26,12,20260636,0.999,3.011,,,,
1,lookahead,14:26,12,20260637,1.0,2.9295,,,,
1,lookahead,14:26,12,20260638,0.999,2.963,,,,
1,lookahead,14:26,12,20260639,0.998,3.031,,,,
1,lookahead,14:26,12,20260640,0.9985,2.977,,,,
1,lookahead,14:26,12,20260641,0.9985,3.031,,,,
1,lookahead,14:26,12,20260642,0.9975,3.0225,,,,
1,lookahead,14:26,12,20260643,0.9985,2.976,,,,
1,lookahead,14:26,12,20260644,0.997,2.9825,,,,
1,lookahead,14:26,12,20260645,0.999,2.969,,,,
1,lookahead,14:26,12,20260646,0.9995,2.9015,,,,
1,lookahead,14:26,12,20260647,0.9985,2.991,,,,
1,lookahead,14:26,12,20260648,1.0,2.9415,,,,
1,lookahead,14:26,14,20260629,0.9975,2.814,,,,
1,lookahead,14:26,14,20260630,0.998,2.7275,,,,
1,lookahead,14:26,14,20260631,0.994,2.7855,,,,
1,lookahead,14:26,14,20260632,0.9955,2.7665,,,,
1,lookahead,14:26,14,20260633,0.9945,2.8715,,,,
1,lookahead,14:26,14,20260634,0.9935,2.875,,,,
1,lookahead,14:26,14,20260635,0.9965,2.7765,,,,
1,lookahead,14:26,14,20260636,0.995,2.859,,,,
1,lookahead,14:26,14,20260637,0.9965,2.731,,,,
1,lookahead,14:26,14,20260638,0.9975,2.757,,,,
1,lookahead,14:26,14,20260639,0.9965,2.851,,,,
1,lookahead,14:26,14,20260640,0.995,2.832,,,,
1,lookahead,14:26,14,20260641,0.9945,2.8905,,,,
1,lookahead,14:26,14,20260642,0.996,2.8215,,,,
1,lookahead,14:26,14,20260643,0.9945,2.8045,,,,
1,lookahead,14:26,14,20260644,0.997,2.779,,,,
1,lookahead,14:26,14,20260645,0.9965,2.7875,,,,
1,lookahead,14:26,14,20260646,0.998,2.6785,,,,
1,lookahead,14:26,14,20260647,0.995,2.784,,,,
1,lookahead,14:26,14,20260648,0.9955,2.719,,,,
1,lookahead,14:26,16,20260629,0.9945,2.2245,,,,
1,lookahead,14:26,16,20260630,0.997,2.1025,,,,
1,lookahead,14:26,16,20260631,0.997,2.1165,,,,
1,lookahead,14:26,16,20260632,0.9965,2.12,,,,
1,lookahead,14:26,16,20260633,0.9935,2.299,,,,
1,lookahead,14:26,16,20260634,0.9955,2.2445,,,,
1,lookahead,14:26,16,20260635,0.993,2.1395,,,,
1,lookahead,14:26,16,20260636,0.9945,2.2215,,,,
1,lookahead,14:26,16,20260637,0.9935,2.1695,,,,
1,lookahead,14:26,16,20260638,0.996,2.203,,,,
1,lookahead,14:26,16,20260639,0.9965,2.208,,,,
1,lookahead,14:26,16,20260640,0.9955,2.1915,,,,
1,lookahead,14:26,16,20260641,0.995,2.208,,,,
1,lookahead,14:26,16,20260642,0.994,2.141,,,,
1,lookahead,14:26,16,20260643,0.9935,2.241,,,,
1,lookahead,14:26,16,20260644,0.999,2.2015,,,,
1,lookahead,14:26,16,20260645,0.997,2.1915,,,,
1,lookahead,14:26,16,20260646,0.9965,2.072,,,,
1,lookahead,14:26,16,20260647,0.993,2.178,,,,
1,lookahead,14:26,16,20260648,0.993,2.197,,,,
1,lookahead,14:26,18,20260629,0.9945,2.2245,,,,
1,lookahead,14:26,18,20260630,0.997,2.1025,,,,
1,lookahead,14:26,18,20260631,0.997,2.1165,,,,
1,lookahead,14:26,18,20260632,0.9965,2.12,,,,
1,lookahead,14:26,18,20260633,0.9935,2.299,,,,
1,lookahead,14:26,18,20260634,0.9955,2.2445,,,,
1,lookahead,14:26,18,20260635,0.993,2.1395,,,,
1,lookahead,14:26,18,20260636,0.9945,2.2215,,,,
1,lookahead,14:26,18,20260637,0.9935,2.1695,,,,
1,lookahead,14:26,18,20260638,0.996,2.203,,,,
1,lookahead,14:26,18,20260639,0.9965,2.208,,,,
1,lookahead,14:26,18,20260640,0.9955,2.1915,,,,
1,lookahead,14:26,18,20260641,0.995,2.208,,,,
1,lookahead,14:26,18,20260642,0.994,2.141,,,,
1,lookahead,14:26,18,20260643,0.9935,2.241,,,,
1,lookahead,14:26,18,20260644,0.999,2.2015,,,,
1,lookahead,14:26,18,20260645,0.997,2.1915,,,,
1,lookahead,14:26,18,20260646,0.9965,2.072,,,,
1,lookahead,14:26,18,20260647,0.993,2.178,,,,
1,lookahead,14:26,18,20260648,0.993,2.197,,,,
1,lookahead,14:26,20,20260629,0.9945,2.2245,,,,
1,lookahead,14:26,20,20260630,0.997,2.1025,,,,
1,lookahead,14:26,20,20260631,0.997,2.1165,,,,
1,lookahead,14:26,20,20260632,0.9965,2.12,,,,
1,lookahead,14:26,20,20260633,0.9935,2.299,,,,
1,lookahead,14:26,20,20260634,0.9955,2.2445,,,,
1,lookahead,14:26,20,20260635,0.993,2.1395,,,,
1,lookahead,14:26,20,20260636,0.9945,2.2215,,,,
1,lookahead,14:26,20,20260637,0.9935,2.1695,,,,
1,lookahead,14:26,20,20260638,0.996,2.203,,,,
1,lookahead,14:26,20,20260639,0.9965,2.208,,,,
1,lookahead,14:26,20,20260640,0.9955,2.1915,,,,
1,lookahead,14:26,20,20260641,0.995,2.208,,,,
1,lookahead,14:26,20,20260642,0.994,2.141,,,,
1,lookahead,14:26,20,20260643,0.9935,2.241,,,,
1,lookahead,14:26,20,20260644,0.999,2.2015,,,,
1,lookahead,14:26,20,20260645,0.997,2.1915,,,,
1,lookahead,14:26,20,20260646,0.9965,2.072,,,,
1,lookahead,14:26,20,20260647,0.993,2.178,,,,
1,lookahead,14:26,20,20260648,0.993,2.197,,,,
1,lookahead,14:26,22,20260629,0.9945,2.2245,,,,
1,lookahead,14:26,22,20260630,0.997,2.1025,,,,
1,lookahead,14:26,22,20260631,0.997,2.1165,,,,
1,lookahead,14:26,22,20260632,0.9965,2.12,,,,
1,lookahead,14:26,22,20260633,0.9935,2.299,,,,
1,lookahead,14:26,22,20260634,0.9955,2.2445,,,,
1,lookahead,14:26,22,20260635,0.993,2.1395,,,,
1,lookahead,14:26,22,20260636,0.9945,2.2215,,,,
1,lookahead,14:26,22,20260637,0.9935,2.1695,,,,
1,lookahead,14:26,22,20260638,0.996,2.203,,,,
1,lookahead,14:26,22,20260639,0.9965,2.208,,,,
1,lookahead,14:26,22,20260640,0.9955,2.1915,,,,
1,lookahead,14:26,22,20260641,0.995,2.208,,,,
1,lookahead,14:26,22,20260642,0.994,2.141,,,,
1,lookahead,14:26,22,20260643,0.9935,2.241,,,,
1,lookahead,14:26,22,20260644,0.999,2.2015,,,,
1,lookahead,14:26,22,20260645,0.997,2.1915,,,,
1,lookahead,14:26,22,20260646,0.9965,2.072,,,,
1,lookahead,14:26,22,20260647,0.993,2.178,,,,
1,lookahead,14:26,22,20260648,0.993,2.197,,,,
1,lookahead,14:26,24,20260629,0.9945,2.2245,,,,
1,lookahead,14:26,24,20260630,0.997,2.1025,,,,
1,lookahead,14:26,24,20260631,0.997,2.1165,,,,
1,lookahead,14:26,24,20260632,0.9965,2.12,,,,
1,lookahead,14:26,24,20260633,0.9935,2.299,,,,
1,lookahead,14:26,24,20260634,0.9955,2.2445,,,,
1,lookahead,14:26,24,20260635,0.993,2.1395,,,,
1,lookahead,14:26,24,20260636,0.9945,2.2215,,,,
1,lookahead,14:26,24,20260637,0.9935,2.1695,,,,
1,lookahead,14:26,24,20260638,0.996,2.203,,,,
1,lookahead,14:26,24,20260639,0.9965,2.208,,,,
1,lookahead,14:26,24,20260640,0.9955,2.1915,,,,
1,lookahead,14:26,24,20260641,0.995,2.208,,,,
1,lookahead,14:26,24,20260642,0.994,2.141,,,,
1,lookahead,14:26,24,20260643,0.9935,2.241,,,,
1,lookahead,14:26,24,20260644,0.999,2.2015,,,,
1,lookahead,14:26,24,20260645,0.997,2.1915,,,,
1,lookahead,14:26,24,20260646,0.9965,2.072,,,,
1,lookahead,14:26,24,20260647,0.993,2.178,,,,
1,lookahead,14:26,24,20260648,0.993,2.197,,,,
1,lookahead,14:26,26,20260629,0.9945,2.2245,,,,
1,lookahead,14:26,26,20260630,0.997,2.1025,,,,
1,lookahead,14:26,26,20260631,0.997,2.1165,,,,
1,lookahead,14:26,26,20260632,0.9965,2.12,,,,
1,lookahead,14:26,26,20260633,0.9935,2.299,,,,
1,lookahead,14:26,26,20260634,0.9955,2.2445,,,,
1,lookahead,14:26,26,20260635,0.993,2.1395,,,,
1,lookahead,14:26,26,20260636,0.9945,2.2215,,,,
1,lookahead,14:26,26,20260637,0.9935,2.1695,,,,
1,lookahead,14:26,26,20260638,0.996,2.203,,,,
1,lookahead,14:26,26,20260639,0.9965,2.208,,,,
1,lookahead,14:26,26,20260640,0.9955,2.1915,,,,
1,lookahead,14:26,26,20260641,0.995,2.208,,,,
1,lookahead,14:26,26,20260642,0.994,2.141,,,,
1,lookahead,14:26,26,20260643,0.9935,2.241,,,,
1,lookahead,14:26,26,20260644,0.999,2.2015,,,,
1,lookahead,14:26,26,20260645,0.997,2.1915,,,,
1,lookahead,14:26,26,20260646,0.9965,2.072,,,,
1,lookahead,14:26,26,20260647,0.993,2.178,,,,
1,lookahead,14:26,26,20260648,0.993,2.197,,,,
1,lookahead,14:26,28,20260629,0.9945,2.2245,,,,
1,lookahead,14:26,28,20260630,0.997,2.1025,,,,
1,lookahead,14:26,28,20260631,0.997,2.1165,,,,
1,lookahead,14:26,28,20260632,0.9965,2.12,,,,
1,lookahead,14:26,28,20260633,0.9935,2.299,,,,
1,lookahead,14:26,28,20260634,0.9955,2.2445,,,,
1,lookahead,14:26,28,20260635,0.993,2.1395,,,,
1,lookahead,14:26,28,20260636,0.9945,2.2215,,,,
1,lookahead,14:26,28,20260637,0.9935,2.1695,,,,
1,lookahead,14:26,28,20260638,0.996,2.203,,,,
1,lookahead,14:26,28,20260639,0.9965,2.208,,,,
1,lookahead,14:26,28,20260640,0.9955,2.1915,,,,
1,lookahead,14:26,28,20260641,0.995,2.208,,,,
1,lookahead,14:26,28,20260642,0.994,2.141,,,,
1,lookahead,14:26,28,20260643,0.9935,2.241,,,,
1,lookahead,14:26,28,20260644,0.999,2.2015,,,,
1,lookahead,14:26,28,20260645,0.997,2.1915,,,,
1,lookahead,14:26,28,20260646,0.9965,2.072,,,,
1,lookahead,14:26,28,20260647,0.993,2.178,,,,
1,lookahead,14:26,28,20260648,0.993,2.197,,,,
1,lookahead,14:26,30,20260629,0.9945,2.2245,,,,
1,lookahead,14:26,30,20260630,0.997,2.1025,,,,
1,lookahead,14:26,30,20260631,0.997,2.1165,,,,
1,lookahead,14:26,30,20260632,0.9965,2.12,,,,
1,lookahead,14:26,30,20260633,0.9935,2.299,,,,
1,lookahead,14:26,30,20260634,0.9955,2.2445,,,,
1,lookahead,14:26,30,20260635,0.993,2.1395,,,,
1,lookahead,14:26,30,20260636,0.9945,2.2215,,,,
1,lookahead,14:26,30,20260637,0.9935,2.1695,,,,
1,lookahead,14:26,30,20260638,0.996,2.203,,,,
1,lookahead,14:26,30,20260639,0.9965,2.208,,,,
1,lookahead,14:26,30,20260640,0.9955,2.1915,,,,
1,lookahead,14:26,30,20260641,0.995,2.208,,,,
1,lookahead,14:26,30,20260642,0.994,2.141,,,,
1,lookahead,14:26,30,20260643,0.9935,2.241,,,,
1,lookahead,14:26,30,20260644,0.999,2.2015,,,,
1,lookahead,14:26,30,20260645,0.997,2.1915,,,,
1,lookahead,14:26,30,20260646,0.9965,2.072,,,,
1,lookahead,14:26,30,20260647,0.993,2.178,,,,
1,lookahead,14:26,30,20260648,0.993,2.197,,,,
1,lookahead,20:20,12,20260629,0.9985,2.9325,,,,
1,lookahead,20:20,12,20260630,0.9995,2.8505,,,,
1,lookahead,20:20,12,20260631,0.999,2.8665,,,,
1,lookahead,20:20,12,20260632,0.9985,2.8635,,,,
1,lookahead,20:20,12,20260633,0.999,2.9645,,,,
1,lookahead,20:20,12,20260634,0.9995,2.9125,,,,
1,lookahead,20:20,12,20260635,0.9995,2.8135,,,,
1,lookahead,20:20,12,20260636,0.998,2.9085,,,,
1,lookahead,20:20,12,20260637,0.999,2.849,,,,
1,lookahead,20:20,12,20260638,0.998,2.932,,,,
1,lookahead,20:20,12,20260639,0.998,2.8955,,,,
1,lookahead,20:20,12,20260640,0.9985,2.865,,,,
1,lookahead,20:20,12,20260641,0.999,2.9205,,,,
1,lookahead,20:20,12,20260642,0.998,2.8715,,,,
1,lookahead,20:20,12,20260643,0.9985,2.908,,,,
1,lookahead,20:20,12,20260644,0.997,2.945,,,,
1,lookahead,20:20,12,20260645,0.9985,2.872,,,,
1,lookahead,20:20,12,20260646,0.999,2.7945,,,,
1,lookahead,20:20,12,20260647,0.9975,2.886,,,,
1,lookahead,20:20,12,20260648,1.0,2.8775,,,,
1,lookahead,20:20,14,20260629,0.9985,2.845,,,,
1,lookahead,20:20,14,20260630,0.9995,2.7855,,,,
1,lookahead,20:20,14,20260631,0.999,2.789,,,,
1,lookahead,20:20,14,20260632,0.9985,2.7955,,,,
1,lookahead,20:20,14,20260633,0.999,2.8915,,,,
1,lookahead,20:20,14,20260634,0.9995,2.845,,,,
1,lookahead,20:20,14,20260635,0.9995,2.7355,,,,
1,lookahead,20:20,14,20260636,0.9975,2.8285,,,,
1,lookahead,20:20,14,20260637,0.999,2.786,,,,
1,lookahead,20:20,14,20260638,0.9985,2.86,,,,
1,lookahead,20:20,14,20260639,0.9985,2.8265,,,,
1,lookahead,20:20,14,20260640,0.9985,2.7895,,,,
1,lookahead,20:20,14,20260641,0.999,2.8475,,,,
1,lookahead,20:20,14,20260642,0.9985,2.801,,,,
1,lookahead,20:20,14,20260643,0.999,2.856,,,,
1,lookahead,20:20,14,20260644,0.9975,2.8725,,,,
1,lookahead,20:20,14,20260645,0.999,2.813,,,,
1,lookahead,20:20,14,20260646,0.9995,2.7175,,,,
1,lookahead,20:20,14,20260647,0.9975,2.816,,,,
1,lookahead,20:20,14,20260648,0.9995,2.8105,,,,
1,lookahead,20:20,16,20260629,0.9985,2.768,,,,
1,lookahead,20:20,16,20260630,0.9995,2.6845,,,,
1,lookahead,20:20,16,20260631,0.9985,2.7055,,,,
1,lookahead,20:20,16,20260632,0.9985,2.701,,,,
1,lookahead,20:20,16,20260633,0.999,2.7975,,,,
1,lookahead,20:20,16,20260634,0.9995,2.752,,,,
1,lookahead,20:20,16,20260635,0.9995,2.6435,,,,
1,lookahead,20:20,16,20260636,0.998,2.74,,,,
1,lookahead,20:20,16,20260637,0.9995,2.6975,,,,
1,lookahead,20:20,16,20260638,0.9985,2.775,,,,
1,lookahead,20:20,16,20260639,0.9985,2.728,,,,
1,lookahead,20:20,16,20260640,0.9985,2.699,,,,
1,lookahead,20:20,16,20260641,0.999,2.7465,,,,
1,lookahead,20:20,16,20260642,0.998,2.723,,,,
1,lookahead,20:20,16,20260643,0.9985,2.7755,,,,
1,lookahead,20:20,16,20260644,0.9975,2.778,,,,
1,lookahead,20:20,16,20260645,0.999,2.7295,,,,
1,lookahead,20:20,16,20260646,0.9995,2.626,,,,
1,lookahead,20:20,16,20260647,0.998,2.7175,,,,
1,lookahead,20:20,16,20260648,1.0,2.7115,,,,
1,lookahead,20:20,18,20260629,0.9995,2.5625,,,,
1,lookahead,20:20,18,20260630,0.9995,2.446,,,,
1,lookahead,20:20,18,20260631,0.999,2.4785,,,,
