year,NEW (vz=0.65+l7+F10ε) 🔍,F10 ε=0.015 ★,F8 R5_CALM_BOOST,F7v3+E4 A:tilt=2.0,D5 vz=0.65/lmax=5.5,E4 Regime k_lt ◆,DH Dyn 2x3x [A],NDX 1x B&H
1986,28.385445461046594,28.489137320719593,28.455949263201504,27.666753846213354,29.080587545232454,31.395334048766887,28.776619746192107,6.058378483815392
1987,57.79432953469408,55.539535279433764,55.53953527943355,53.81514894410206,45.59891609103718,48.73641863816908,15.614701142961207,-5.317021316409238
1988,-27.903059745267623,-28.34740743284034,-28.3884762883348,-26.83802495100097,-20.420534312591972,-24.859297136475096,-11.909703252693838,10.484834574948303
1989,42.33636794349028,42.48850587872564,42.48850587872578,41.29019651723513,36.00726506438605,39.12851980502274,21.896155725248402,16.65088328302879
1990,-41.7854537731438,-41.90005140677705,-41.876304493704474,-40.59044468344729,-33.75120018012282,-37.287517456652644,-7.663717653350877,-15.400424961474204
1991,67.39902385211508,65.13391143582966,65.13391143582999,54.83056430985221,62.259948375286434,55.45453418388562,39.406657261714585,47.59753592095531
1992,41.019649091657584,45.445327625852684,45.506183450967384,41.12030072622679,31.906817704020295,40.80931177183446,24.954433243885678,12.766757348109659
1993,-5.965889952145876,-6.660073108801947,-6.676747624164708,-7.084632586613937,-3.760211554132395,-7.805573988237703,3.639786683220233,12.930411067527439
1994,-13.734662223762284,-13.722384753612094,-13.74829974370025,-13.597177952636603,-10.351138270289733,-13.467013493706991,-8.962612939478502,-2.0179082815155276
1995,124.13140634504092,121.54473081687085,121.4970714320178,120.15169659330816,95.24819670635851,119.64346154200017,59.26022203561173,34.32897593217595
1996,36.36767063895066,35.685813228227154,35.68581322822704,36.31765721028579,26.980091825848195,30.100201745120142,17.12415141471278,18.15972925689935
1997,44.67588440748067,46.74739892171128,46.764805990514176,45.65465776996814,40.85549717248509,45.62717707249783,41.99590370366912,18.7106640782951
1998,56.434862348164195,59.60078521730225,59.60078521730237,62.676695247308785,66.40505180428387,68.59238653007725,63.75258285294788,31.96983844292216
1999,63.710537230955296,66.4688056958479,66.48547437858451,66.25108620970589,59.44440772945288,61.66761726901166,99.00319137582301,69.73666230846385
2000,-10.458091207228055,-10.499908664172361,-10.499908664172425,-10.331159780242128,-8.975878721734638,-9.018547375074172,0.9316894391076962,-33.25561003519838
2001,-6.116386735682436,-6.580149068813346,-6.580149068813447,-6.580149068813402,-6.116386735682354,-6.5801490688133555,1.0714231028492425,-12.325792739403886
2002,8.618519151740283,10.785406675833654,10.785406675833766,10.785406675833801,8.618519151740246,10.78540667583371,23.34703684945831,-26.90746968432487
2003,88.32619553663741,86.65667557569681,86.65667557569651,92.97484003441299,91.35034892787061,87.53471499956952,58.970401081415915,36.9499671868211
2004,0.7710130715803563,0.814158718275717,0.8141587182756436,1.818664355121876,4.5150684436332496,6.595147391458673,9.1938319100401,6.957514439673607
2005,-21.04644962786477,-21.3101435365768,-21.31849989633427,-20.642857365271727,-11.226029114693036,-18.364105244699413,1.542021496469575,2.0438947254985345
2006,42.188207281900034,42.398331456527956,42.40909542695914,40.06226862424011,31.897501253276218,32.9007830209499,22.346180760803037,6.325303117572913
2007,17.792982710411632,17.0418068209529,17.10340407258341,14.264545994147944,17.930009070005486,15.36493766978166,16.446142686699687,7.822474771698032
2008,16.417730285004044,16.356938433004178,16.356938433004252,16.58536695049267,17.103676047458684,17.04246591533592,18.68388725505785,-32.73528804905245
2009,46.30221989140164,48.10978968029856,48.10978968029858,44.10827755488634,38.40090351850718,37.60279583582379,22.963864555988543,32.28386211210606
2010,58.34994386815904,58.70252471992159,58.70252471992162,66.30546764758512,73.07615685239988,75.26982748049637,46.43274723957684,12.344532448698027
2011,-16.57476083658552,-16.426267592484766,-16.426267592484713,-15.440120245729716,-7.662702526984486,-8.673585236113174,-5.262575553057429,-2.654782356826013
2012,15.629032055107029,19.64250555337765,19.642505553377628,21.068302488385658,16.793766785219304,23.44403430306763,17.85234731347124,11.58123933912454
2013,21.76574907215764,22.368291186373355,22.368291186373373,21.397386599704905,20.660794079397533,18.68617564359496,21.157859719960513,28.291982958975197
2014,-4.074932742068535,-0.15744407223315887,-0.14014455514357002,2.4872679971082925,3.1262114461462924,5.006147099894484,10.185904746238982,11.840793400089696
2015,-30.851257286767797,-30.42835377343992,-30.44235469355911,-30.32036048644102,-26.548151327837477,-30.91139597653003,-17.318527995695863,4.911144246342121
2016,-10.32450309633552,-10.371760869955816,-10.36448625738218,-11.336835753723715,-3.168737032503509,-14.121932285191582,5.874273944614417,8.09956695651568
2017,66.7407312305866,67.88393844518698,68.05104135880738,62.03638447364587,48.15589572246917,59.75342669489879,23.241918055183724,22.465992291276343
2018,-11.263963502920305,-11.282227528398227,-11.25794623168367,-12.046412555957666,-5.98048104302268,-12.478572304561855,-2.2194447270129425,-4.387693945882482
2019,41.40654088308575,42.95995843144138,42.959958431441365,41.07584097067898,46.484451906110706,42.38844419676102,33.86869737488235,28.62761381330606
2020,69.23876519267286,65.58013594755052,65.5801359475501,62.90362666355357,59.47276102292511,60.59024469506543,62.543694995698516,34.54068798154174
2021,26.212525143016247,19.12212715208403,19.08299457817273,18.04444873496847,18.466798111152464,18.416906160910877,20.842734540469976,19.196481232185967
2022,-22.227506771794562,-22.086426457777446,-22.08642645777753,-22.197609992448278,-22.428675448188155,-22.28806002577058,-24.115796604829814,-28.04024582756808
2023,80.3096434650052,73.70336140349181,73.68631455279133,72.98900012761726,67.50338470872978,68.08717883175794,30.96300631437872,36.832076478328666
2024,47.468322594910305,47.77216545858244,47.748601692531025,44.57654442766171,40.75791792930146,37.07535798650189,21.932046378044063,25.463689846440463
2025,41.250685126367706,33.473057878124294,33.47305787812441,33.765991374299844,38.795668182188955,36.43604621203121,30.52223271227119,16.99671999350876
2026,-12.763451386066862,-8.689655979481014,-8.689655979480985,-7.924073405297332,-10.873040204955469,-7.866007546572186,-9.528084808432013,-6.506958087252003
